ILCE_ADI;MAHALLE_ADI
BERGAMA;HALİLAĞALAR
BERGAMA;HAMZALISÜLEYMANİYE
BERGAMA;HİSARKÖY
BERGAMA;ILGINCABER
BERGAMA;İKİZLER
BERGAMA;İNCECİKLER
BERGAMA;İNEŞİR
BERGAMA;İNKILAP
BERGAMA;İSLAMSARAY
BERGAMA;İSMAİLLİ
BERGAMA;KADIKÖY
BERGAMA;KALEARDI
BERGAMA;KAPLAN (GÖÇBEYLİ BUCAĞI)
BERGAMA;KAPLAN (YUKARIBEY BUCAĞI)
BERGAMA;KAPUKAYA
BERGAMA;KARAHIDIRLI
BERGAMA;KARALAR
BERGAMA;KARAVELİLER
BERGAMA;KAŞIKÇI
BERGAMA;KATRANCI
BERGAMA;KIRANLI
BERGAMA;KIRCALAR
BERGAMA;KIZILTEPE
BERGAMA;KOCAHALİLLER
BERGAMA;KOCAKÖY
BERGAMA;KOYUNELİ
BERGAMA;KOZLUCA
BERGAMA;KURFALLI
BERGAMA;KURTULUŞ
BERGAMA;KÜÇÜKKAYA
BERGAMA;MAHMUDİYE
BERGAMA;MALTEPE
BERGAMA;MARUFLAR
BERGAMA;MURATLAR
BERGAMA;NARLICA
BERGAMA;OKÇULAR
BERGAMA;ORUŞLAR
BERGAMA;OVACIK
BERGAMA;ÖKSÜZLER
BERGAMA;ÖRENLİ
BERGAMA;ÖRLEMİŞ
BERGAMA;PAŞAKÖY
BERGAMA;PINARKÖY
BERGAMA;PİRVELİLER
BERGAMA;RAHMANLAR
BERGAMA;SAĞANCI
BERGAMA;SARICALAR
BERGAMA;SARICAOĞLU
BERGAMA;SARIDERE
BERGAMA;SEKLİK
BERGAMA;SELÇUK
BERGAMA;SİNDEL
BERGAMA;SÜLEYMANLI
BERGAMA;TALATPAŞA
BERGAMA;TAVUKÇUKURU
BERGAMA;TEKKEDERE
BERGAMA;TEPEKÖY
BERGAMA;TERZİHALİLLER
BERGAMA;TIRMANLAR
BERGAMA;TİYELTİ
BERGAMA;TOPALLAR
BERGAMA;TURABEY
BERGAMA;ULUCAMİİ
BERGAMA;ÜÇTEPE
BERGAMA;ÜRKÜTLER
BERGAMA;YALNIZDAM
BERGAMA;YALNIZEV
BERGAMA;YENİKENT
BERGAMA;YENİLER
BERGAMA;YERLİTAHTACI
BERGAMA;YORTANLI
BERGAMA;YUKARIADA
BERGAMA;YUKARIBEY
BERGAMA;YUKARICUMA
BERGAMA;YUKARIKIRIKLAR
BERGAMA;ZAFER
BERGAMA;ZAĞNOZ
BERGAMA;ZEYTİNDAĞ
BEYDAĞ;ADAKÜRE
BEYDAĞ;AKTEPE
BEYDAĞ;ALAKEÇİLİ
BEYDAĞ;ATATÜRK
BEYDAĞ;BAKIRKÖY
BEYDAĞ;BEYKÖY
BEYDAĞ;CUMHURİYET
BEYDAĞ;ÇAMLIK
BEYDAĞ;ÇİFTLİKKÖY
BEYDAĞ;ÇOMAKLAR
BEYDAĞ;EĞRİDERE
BEYDAĞ;ERİKLİ
BEYDAĞ;HALIKÖY
BEYDAĞ;KARAOBA
BEYDAĞ;KURUDERE
BEYDAĞ;MENDERES
BEYDAĞ;MUTAFLAR
BEYDAĞ;PALAMUTÇUK
BEYDAĞ;SARIKAYA
BEYDAĞ;TABAKLAR
BEYDAĞ;YAĞCILAR
BEYDAĞ;YENİYURT
BEYDAĞ;YEŞİLTEPE
BEYDAĞ;YUKARIAKTEPE
BEYDAĞ;YUKARITOSUNLAR
BORNOVA;ATATÜRK
BORNOVA;BARBAROS
BORNOVA;BEŞYOL
BORNOVA;BİRLİK
BORNOVA;ÇAMİÇİ
BORNOVA;ÇAMKULE
BORNOVA;ÇINAR
BORNOVA;ÇİÇEKLİ
BORNOVA;DOĞANLAR
BORNOVA;EGEMENLİK
BORNOVA;EĞRİDERE
BORNOVA;ERGENE
BORNOVA;ERZENE
BORNOVA;EVKA 3
BORNOVA;EVKA 4
BORNOVA;GAZİ OSMAN PAŞA
BORNOVA;GÖKDERE
BORNOVA;GÜRPINAR
BORNOVA;IŞIKLAR
BORNOVA;İNÖNÜ
BORNOVA;KARACAOĞLAN
BORNOVA;KARAÇAM
BORNOVA;KAVAKLIDERE
BORNOVA;KAYADİBİ
BORNOVA;KAZIMDİRİK
BORNOVA;KEMALPAŞA
BORNOVA;KIZILAY
BORNOVA;KOŞUKAVAK
BORNOVA;KURUDERE
BORNOVA;LAKA
BORNOVA;MERİÇ
BORNOVA;MERKEZ
BORNOVA;MEVLANA
BORNOVA;NALDÖKEN
BORNOVA;RAFET PAŞA
BORNOVA;SARNIÇKÖY
BORNOVA;SERİNTEPE
BORNOVA;TUNA
BORNOVA;ÜMİT
BORNOVA;YAKAKÖY
BORNOVA;YEŞİLÇAM
BORNOVA;YEŞİLOVA
BORNOVA;YILDIRIM BEYAZIT
BORNOVA;YUNUS EMRE
BORNOVA;ZAFER
BUCA;29 EKİM
BUCA;ADATEPE
BUCA;AKINCILAR
BUCA;ATATÜRK
BUCA;AYDOĞDU
BUCA;BARIŞ
BUCA;BELENBAŞI
BUCA;BUCA KOOP
BUCA;CUMHURİYET
BUCA;ÇAĞDAŞ
BUCA;ÇALDIRAN
BUCA;ÇAMLIK
BUCA;ÇAMLIKULE
BUCA;ÇAMLIPINAR
BUCA;DİCLE
BUCA;DOĞANCILAR
